id,n_epochs,logerr_slope,logerr_intercept,logerr_r2,err_first,err_last,logerr_first,logerr_last,auc_logerr,plateau_logerr,t50,base_err,base_epoch,fit_difficulty,split
mb-log-kvrh-09138,100.0,-0.0006118829668144515,0.4081449225244334,0.048643975733349,3.1006255,1.4029030799865723,1.1316038685561298,0.3385437253109617,0.37071192616287024,0.366815048243997,1.0,3.1006255,0.0,-0.33384043099897703,test
mb-log-kvrh-00129,100.0,-0.0004523652004085157,0.25174966936347465,0.026277961472494393,2.6917138,1.245767593383789,0.9901780948383162,0.21975188883112537,0.22239596497091552,0.21896938211890216,1.0,2.6917138,0.0,-0.6005149978177109,test
mb-log-kvrh-09985,100.0,8.031178040048256e-05,0.2822175816988297,0.0007758212671572506,2.8352194,1.3066372871398926,1.0421193274830687,0.26745688820300345,0.27910807671340265,0.2980486843013691,1.0,2.8352194,0.0,-0.4697154011632066,test
mb-log-kvrh-07632,100.0,0.0002416695930565315,0.31814976856008004,0.007406883017104349,2.8387957,1.4109008312225342,1.0433799164656326,0.3442283948679504,0.323275792514619,0.3494590176705355,1.0,2.8387957,0.0,-0.38086108974917166,test
mb-log-kvrh-04740,100.0,-0.00027520407955256666,1.0497455977260077,0.011795631247038751,5.4538054,2.755889415740967,1.6963136053857342,1.0137402310624124,1.0289355957047968,1.0312480105330106,3.0,5.4538054,0.0,0.9602651385489621,test
mb-log-kvrh-02009,100.0,-0.0005019237268755392,0.8471591391633687,0.038110018679817004,4.5678277,2.2157297134399414,1.5190377549173717,0.7955817954898801,0.8148257548343276,0.8159968229953654,4.0,4.5678277,0.0,0.6229645530939092,test
mb-log-kvrh-09366,100.0,6.488298204852629e-05,-0.07546275687899147,0.00034282299460008936,2.1445022,0.9490275382995605,0.7629074555175172,-0.05231745202687541,-0.07872938248118364,-0.0568190987899687,1.0,2.1445022,0.0,-1.1107667308645732,test
mb-log-kvrh-01486,100.0,-0.0003691398681903821,0.3652168795433921,0.017063744239233736,3.079166,1.4187953472137451,1.124658784345024,0.3498081715788385,0.33968337047041386,0.3464892486400881,1.0,3.079166,0.0,-0.37607076655423344,test
mb-log-kvrh-02488,100.0,-0.0005104001072704331,1.0823063727940474,0.042698896470231396,5.3975267,2.783971071243286,1.68594083198189,1.023878354933771,1.0500585719689712,1.0559905344547809,33.0,5.3975267,0.0,2.5029584652364214,test
mb-log-kvrh-08672,100.0,-0.00010573666705096735,0.11681951049871675,0.0013068544609150523,2.4062757,1.1569386720657349,0.8780802036722013,0.14577744945685792,0.10484563628419852,0.11289192599730138,1.0,2.4062757,0.0,-0.7976790002433409,test
